No.	question	answer	option2	option3	option4	explanation	datail / background
文型	「A tall boy came here yesterday.」の文型として正しいものはどれですか？	第1文型 [SV]	第2文型 [SVC]	第3文型 [SVO]	第4文型 [SVOO]	修飾語（M）を除くと主語（S）と動詞（V）だけが残るからです。	「here」（場所）や「yesterday」（時）は動詞を詳しく説明する修飾語（M）であり、文を組み立てる主要要素（S,V,O,C）には含まれません。
文型	「I gave a book ( ) him.」の空所に入る適切な前置詞はどれですか？	to	for	of	with	giveを用いた文を書き換える際、相手に直接届く動作を表すのはtoだからです。	相手に直接手渡したり伝えたりする動作（give, tell, showなど）を第3文型にする際は、前置詞にtoを使います。
文型	「He bought a car ( ) me.」の空所に入る適切な前置詞はどれですか？	for	to	of	at	buyは「相手のために準備する」という利益を表す動詞なのでforを用います。	相手のために何かを準備・製造する動作（buy, make, cookなど）を第3文型にする際は、前置詞にforを使います。
文型	「A girl asked the way ( ) me.」の空所に入る適切な前置詞はどれですか？	of	to	for	by	askを第3文型に書き換える際は、間接目的語の前にofを置くルールがあるからです。	askは「尋ねる・頼む」という意味で、書き換え時にtoやforではなくofを使う代表的な動詞です。
文型	「He is a teacher.」の文型として正しいものはどれですか？	第2文型 [SVC]	第1文型 [SV]	第3文型 [SVO]	第5文型 [SVOC]	主語（He）と補語（teacher）が「イコールの関係」で結ばれるからです。	第2文型（SVC）は「S=C」の関係が成立するのが最大の特徴です。「彼＝先生」という説明になっているので補語（C）と判断します。
文型	「The song sounds good.」の文型として正しいものはどれですか？	第2文型 [SVC]	第1文型 [SV]	第3文型 [SVO]	第5文型 [SVOC]	soundsが主語の状態を説明する補語（good）をとり、S=Cが成立するからです。	soundやlook、feelなどの感覚を表す動詞は、主語がどのような状態であるかを述べる第2文型をよく作ります。
文型	「I will make her happy.」の文構造から判断できる正しい意味はどれですか？	私は彼女を幸せにするだろう	私は彼女に幸せを作ってあげるだろう	私は彼女が幸せだと気づくだろう	私は彼女に幸せを教えるだろう	「make O C」で「OをCの状態にする」という第5文型（O=C）になるからです。	第5文型（SVOC）では、目的語（her）と補語（happy）の間に「彼女＝幸せ」という主従関係が成り立ちます。
文型	「She made me dinner.」の文型として正しいものはどれですか？	第4文型 [SVOO]	第2文型 [SVC]	第3文型 [SVO]	第5文型 [SVOC]	me（私）とdinner（夕食）がイコールではないため、2つの目的語を持つ形だからです。	第4文型（SVOO）は「誰に」「何を」を与える構造です。この文は「私＝夕食」ではないため、目的語が2つ並んでいると判断します。
文型	「I will keep him a seat.」が第4文型[SVOO]である理由として正しいものはどれですか？	himとa seatがイコール関係ではないから	himが主語とイコール関係だから	席を保つという意味だから	文末に修飾語がないから	動詞の後ろにある2つの名詞に「イコール関係」が成り立たず、授与を表しているからです。	keepが第4文型をとると「（人）に（物）を取っておく」という意味になります。彼≠席なので、第5文型とは区別します。
文型	「We keep the door open.」の文型として正しいものはどれですか？	第5文型 [SVOC]	第2文型 [SVC]	第3文型 [SVO]	第4文型 [SVOO]	door = openという「目的語＝補語」の状態を保つ主述関係があるからです。	keep O Cで「OをCの状態のままにしておく」という意味になります。ドアが開いているという状態を維持していることを表します。
文型	「I saw a boy ( ) the street.」で「渡るのを見た」とするのに適切な語はどれですか？	cross	to cross	crossed	crosses	知覚動詞seeの補語に不定詞を置く場合、原形不定詞を用いるルールがあるからです。	seeやhearなどの知覚動詞を使った第5文型では、補語（C）の部分にtoのない「原形不定詞」を置くのが特徴です。
