No.	theme	key words and phrases_1	meaning of the words and phrases_1	phonetic symbol_1	part of speech_1	example sentence_1	japanese of example sentence_1	key words and phrases_2	meaning of the words and phrases_2	phonetic symbol_2	part of speech_2	example sentence_2	japanese of example sentence_2	key words and phrases_3	meaning of the words and phrases_3	phonetic symbol_3	part of speech_3	example sentence_3	japanese of example sentence_3	key words and phrases_4	meaning of the words and phrases_4	phonetic symbol_4	part of speech_4	example sentence_4	japanese of example sentence_4	key words and phrases_5	meaning of the words and phrases_5	phonetic symbol_5	part of speech_5	example sentence_5	japanese of example sentence_5	key words and phrases_6	meaning of the words and phrases_6	phonetic symbol_6	part of speech_6	example sentence_6	japanese of example sentence_6	article	with slash	japanese
Daily	Morning Routine	productive	実り多い、生産的な	/prəˈdʌktɪv/	形容詞	The meeting was very productive.	会議はとても実り多いものでした。	solid	確かな、固い	/ˈsɒlɪd/	形容詞	He has a solid reputation.	彼は確固たる評判を得ている。	meditating	瞑想すること	/ˈmedɪteɪtɪŋ/	動名詞	She spends 10 minutes meditating every morning.	彼女は毎朝10分間瞑想して過ごす。	habits	習慣	/ˈhæbɪts/	名詞	Good habits are the key to success.	良い習慣は成功への鍵です。	consistent	一貫した、安定した	/kənˈsɪstənt/	形容詞	Her performance is consistent.	彼女のパフォーマンスは安定している。	decision fatigue	決断疲れ	/dɪˈsɪʒən fəˈtiːɡ/	名詞	Choosing what to wear can cause decision fatigue.	何を着るか選ぶことが決断疲れを引き起こすことがある。	Many people believe that a productive day starts with a solid morning routine. Whether it's drinking a glass of water, meditating, or exercising, these small habits help clear the mind. Establishing a consistent schedule reduces "decision fatigue" early in the day.	Many people believe / that a productive day / starts / with a solid morning routine. Whether it's drinking a glass of water, / meditating, / or exercising, / these small habits / help / clear the mind. Establishing a consistent schedule / reduces / "decision fatigue" / early in the day.	Many people believe / that a productive day / starts / with a solid morning routine. 多くの人は、生産的な一日はしっかりとした朝のルーティンから始まると信じています。  Whether it's drinking a glass of water, / meditating, / or exercising, / these small habits / help / clear the mind. コップ1杯の水を飲むこと、瞑想、あるいは運動をすることであれ、これらの小さな習慣が心をすっきりさせる助けとなります。  Establishing a consistent schedule / reduces / "decision fatigue" / early in the day. 一貫したスケジュールを立てることは、一日の早い段階における「決断疲れ」を軽減します。
Daily	Sustainable Living	sustainable	持続可能な	/səˈsteɪnəbl/	形容詞	We need sustainable energy.	私たちは持続可能なエネルギーを必要としています。	individuals	個人、人	/ˌɪndɪˈvɪdʒuəlz/	名詞	Many individuals joined the march.	多くの人がそのデモに参加した。	adopt	採用する、取り入れる	/əˈdɒpt/	動詞	The school adopted a new system.	学校は新しいシステムを採用した。	lifestyles	生活様式	/ˈlαɪfstaɪlz/	名詞	People are seeking healthier lifestyles.	人々はより健康的な生活様式を求めている。	composting	堆肥化すること	/ˈkɒmpəʊstɪŋ/	動名詞	Composting is a great way to recycle food.	コンポスティングは食べ物をリサイクルする素晴らしい方法です。	energy-efficient	省エネの	/ˈenədʒi ɪˈfɪʃnt/	形容詞	Use energy-efficient light bulbs.	省エネ電球を使いなさい。	Climate change has encouraged many individuals to adopt more sustainable lifestyles. This includes reducing plastic waste, composting food scraps, and choosing energy-efficient appliances.	Climate change / has encouraged / many individuals / to adopt / more sustainable lifestyles. This includes / reducing plastic waste, / composting food scraps, / and choosing / energy-efficient appliances.	Climate change / has encouraged / many individuals / to adopt / more sustainable lifestyles. 気候変動の影響で、多くの人々がより持続可能なライフスタイルを取り入れるようになっています。  This includes / reducing plastic waste, / composting food scraps, / and choosing / energy-efficient appliances. これには、プラスチックごみの削減や生ごみの堆肥化、そして省エネ家電の選択などが含まれます。
Daily	Travel Planning	involves	伴う、必要とする	/ɪnˈvɒlvz/	動詞	This job involves a lot of travel.	この仕事は多くの出張を伴います。	destination	目的地	/ˌdestɪˈneɪʃn/	名詞	We reached our destination at sunset.	日没に目的地に到着した。	researching	調査すること	/rɪˈsɜːtʃɪŋ/	動名詞	I'm researching for my paper.	私は論文のために調査をしています。	logistics	計画の細部、段取り	/ləˈdʒɪstɪks/	名詞	The logistics of the wedding are complex.	結婚式の段取りは複雑だ。	hidden gems	穴場、隠れた名所	/ˈhɪdn dʒemz/	句（フレーズ）	This café is one of the city's hidden gems.	このカフェはこの街の穴場の一つです。	perspectives	視点、考え方	/pəˈspektɪvz/	名詞	Travel gives us new perspectives.	旅は私たちに新しい視点を与えてくれる。	Planning a trip involves more than just picking a destination; it requires researching local customs and logistics. Travelers often use apps to find hidden gems and avoid crowded tourist spots. Exploring new places broadens our perspectives and creates lasting memories.	Planning a trip / involves / more than just picking a destination; / it requires / researching / local customs and logistics. / Travelers / often use apps / to find hidden gems / and avoid / crowded tourist spots. / Exploring new places / broadens our perspectives / and creates / lasting memories.	Planning a trip / involves / more than just picking a destination; / it requires / researching / local customs and logistics. 旅行を計画することは、単に目的地を選ぶ以上のことを含みます。それは現地の習慣や物流を調査することを必要とします。  Travelers / often use apps / to find hidden gems / and avoid / crowded tourist spots. 旅行者は、穴場を見つけたり混雑した観光スポットを避けたりするために、しばしばアプリを利用します。  Exploring new places / broadens our perspectives / and creates / lasting memories. 新しい場所を探索することは、私たちの視野を広げ、いつまでも残る思い出を作ります。
Daily	Home Cooking	popularity	人気	/ˌpɒpjuˈlærəti/	名詞	His popularity is growing.	彼の人気は高まっている。	health-conscious	健康志向の	/helθ ˈkɒnʃəs/	形容詞	Many health-conscious people live here.	ここには健康志向の人が多く住んでいる。	ingredients	材料、具材	/ɪnˈɡriːdiənts/	名詞	Fresh ingredients are essential for cooking.	新鮮な材料は料理に不可欠だ。	sugar levels	糖分レベル	/ˈʃʊɡə ˈlevlz/	句（フレーズ）	Watch your blood sugar levels.	血糖値（糖分レベル）に気をつけなさい。	strengthen	強める	/ˈstreŋθn/	動詞	Exercise helps strengthen your muscles.	運動は筋肉を強くするのに役立つ。	bonds	絆、結びつき	/bɒndz/	名詞	Family bonds are very important.	家族の絆は非常に重要だ。	Cooking at home is gaining popularity as people become more health-conscious. It allows for complete control over ingredients, especially salt and sugar levels. Sharing a home-cooked meal is also a great way to strengthen bonds with family and friends.	Cooking at home / is gaining popularity / as people become / more health-conscious. / It allows for / complete control / over ingredients, / especially salt and sugar levels. / Sharing a home-cooked meal / is also a great way / to strengthen bonds / with family and friends.	Cooking at home / is gaining popularity / as people become / more health-conscious. 人々がより健康志向になるにつれて、家庭での料理が人気を集めています。  It allows for / complete control / over ingredients, / especially salt and sugar levels. それは、材料、特に塩分や糖分のレベルを完全にコントロールすることを可能にします。  Sharing a home-cooked meal / is also a great way / to strengthen bonds / with family and friends. 手料理を分かち合うことは、家族や友人との絆を深めるための素晴らしい方法でもあります。
Daily	Digital Detox	notifications	通知	/ˌnəʊtɪfɪˈkeɪʃnz/	名詞	I turned off all notifications.	すべての通知をオフにした。	intentionally	意図的に	/ɪnˈtenʃənəli/	副詞	He intentionally missed the bus.	彼は意図的にバスを逃した。	electronic devices	電子機器	/ɪˌlekˈtrɒnɪk dɪˈvaɪsɪz/	句（フレーズ）	Switch off your electronic devices.	電子機器の電源を切りなさい。	reconnect	再びつながる	/ˌriːkəˈnekt/	動詞	The hike helped me reconnect with nature.	ハイキングは自然と再びつながるのを助けてくれた。	physical world	物理的な（現実の）世界	/ˈfɪzɪkl wɜːld/	句（フレーズ）	Virtual reality feels like the physical world.	仮想現実は現実の世界のように感じられる。	well-being	幸福、健康、安寧	/ˈwel biːɪŋ/	名詞	Physical health is part of well-being.	身体的な健康は幸福の一部です。	Constant notifications from smartphones can lead to high stress levels and decreased focus. A "digital detox" means intentionally staying away from electronic devices for a set period. This practice helps people reconnect with the physical world and improve mental well-being.	Constant notifications / from smartphones / can lead to / high stress levels / and decreased focus. / A "digital detox" / means / intentionally staying away / from electronic devices / for a set period. / This practice / helps people reconnect / with the physical world / and improve / mental well-being.	Constant notifications / from smartphones / can lead to / high stress levels / and decreased focus. スマートフォンからの絶え間ない通知は、高いストレスレベルや集中力の低下につながる可能性があります。  A "digital detox" / means / intentionally staying away / from electronic devices / for a set period. 「デジタルデトックス」とは、一定期間、意図的に電子機器から離れることを意味します。  This practice / helps people reconnect / with the physical world / and improve / mental well-being. この習慣は、人々が物理的な世界と再びつながり、心の健康を向上させる助けとなります。
Daily	Urban Gardening	backyard	裏庭	/ˌbækˈjɑːd/	名詞	We have a small garden in the backyard.	私たちは裏庭に小さな庭があります。	balconies	バルコニー、ベランダ	/ˈbælkəniz/	名詞	She grows flowers on her balconies.	彼女はバルコニーで花を育てている。	rewarding	やりがいのある	/rɪˈwɔːdɪŋ/	形容詞	Helping others is a rewarding experience.	他人を助けることはやりがいのある経験だ。	fresh produce	新鮮な農産物	/freʃ ˈprɒdjuːs/	句（フレーズ）	Farmers markets sell fresh produce.	ファーマーズマーケットでは新鮮な農産物を売っている。	touch of nature	自然の気配、趣	/tʌtʃ əv ˈneɪtʃə/	句（フレーズ）	A few plants add a touch of nature to the room.	数つの植物が部屋に自然の気配を添える。	calming atmosphere	落ち着いた雰囲気	/ˈkɑːmɪŋ ˈætməsfɪə/	句（フレーズ）	The spa has a calming atmosphere.	スパには落ち着いた雰囲気がある。	You don't need a backyard to grow plants; many people are starting gardens on their balconies. Growing your own herbs and vegetables is rewarding and ensures fresh produce. It also adds a touch of nature to busy city lives, providing a calming atmosphere.	You don't need a backyard / to grow plants; / many people / are starting gardens / on their balconies. / Growing your own herbs and vegetables / is rewarding / and ensures / fresh produce. / It also adds / a touch of nature / to busy city lives, / providing / a calming atmosphere.	You don't need a backyard / to grow plants; / many people / are starting gardens / on their balconies. 植物を育てるのに裏庭は必要ありません。多くの人がベランダでガーデニングを始めています。  Growing your own herbs and vegetables / is rewarding / and ensures / fresh produce. 自分でハーブや野菜を育てることはやりがいがあり、新鮮な農産物を手に入れることができます。  It also adds / a touch of nature / to busy city lives, / providing / a calming atmosphere. それはまた、忙しい都市生活に自然の趣を添え、落ち着いた雰囲気を与えてくれます。
Daily	Pet Ownership	requires	必要とする	/rɪˈkwaɪəz/	動詞	Gardening requires a lot of water.	ガーデニングは多くの水を必要とする。	responsibility	責任	/rɪˌspɒnsəˈbɪləti/	名詞	It is your responsibility to be on time.	時間通りに来るのはあなたの責任だ。	commitment	献身、約束	/kəˈmɪtmənt/	名詞	Relationship requires a strong commitment.	人間関係には強い献身が必要だ。	emotional attention	情緒的な配慮、関心	/ɪˈməʊʃənl əˈtenʃn/	句（フレーズ）	Children need emotional attention.	子供たちは情緒的な関心を必要とする。	unconditional love	無条件の愛	/ˌʌnkənˈdɪʃənl lʌv/	句（フレーズ）	Parents have unconditional love for kids.	親は子供に対して無条件の愛を持っている。	blood pressure	血圧	/blʌd ˈpreʃə/	名詞	Salt can increase your blood pressure.	塩分は血圧を上げることがある。	Owning a pet brings joy but also requires a high level of responsibility and commitment. Pets need regular exercise, a balanced diet, and emotional attention to stay healthy. In return, they offer unconditional love and can even reduce their owners' blood pressure.	Owning a pet / brings joy / but also requires / a high level of responsibility / and commitment. / Pets need / regular exercise, / a balanced diet, / and emotional attention / to stay healthy. / In return, / they offer / unconditional love / and can even reduce / their owners' blood pressure.	Owning a pet / brings joy / but also requires / a high level of responsibility / and commitment. ペットを飼うことは喜びをもたらしますが、高いレベルの責任と献身も必要とします。  Pets need / regular exercise, / a balanced diet, / and emotional attention / to stay healthy. ペットが健康を維持するためには、定期的な運動、バランスの取れた食事、そして感情的な配慮が必要です。  In return, / they offer / unconditional love / and can even reduce / their owners' blood pressure. お返しに、彼らは無条件の愛を注いでくれ、飼い主の血圧を下げることさえあります。
Daily	Physical Exercise	essential	不可欠な	/ɪˈsenʃl/	形容詞	Sleep is essential for health.	睡眠は健康に不可欠だ。	mental clarity	精神の明快さ	/ˈmentl ˈklærəti/	句（フレーズ）	Meditation improves mental clarity.	瞑想は精神の明快さを向上させる。	intense	激しい	/ɪnˈtens/	形容詞	The heat was intense today.	今日は暑さが激しかった。	brisk walk	早歩き	/brɪsk wɔːk/	句（フレーズ）	I go for a brisk walk every evening.	私は毎晩早歩きに出かけます。	chronic illnesses	慢性疾患	/ˈkrɒnɪk ˈɪlnəsɪz/	句（フレーズ）	Regular exercise prevents chronic illnesses.	定期的な運動は慢性疾患を予防する。	consistency	継続性、一貫性	/kənˈsɪstənsi/	名詞	Consistency is the key to training.	継続はトレーニングの鍵だ。	Regular physical activity is essential for maintaining both physical health and mental clarity. It doesn't have to be intense; a thirty-minute brisk walk every day can prevent many chronic illnesses. Consistency is more important than the intensity of the workout.	Regular physical activity / is essential / for maintaining / both physical health / and mental clarity. / It doesn't have to be intense; / a thirty-minute brisk walk / every day / can prevent / many chronic illnesses. / Consistency / is more important / than the intensity / of the workout.	Regular physical activity / is essential / for maintaining / both physical health / and mental clarity. 定期的な身体活動は、身体の健康と精神の明晰さの両方を維持するために不可欠です。  It doesn't have to be intense; / a thirty-minute brisk walk / every day / can prevent / many chronic illnesses. それは激しいものである必要はありません。毎日の30分間の早歩きが、多くの慢性疾患を予防することができます。  Consistency / is more important / than the intensity / of the workout. 一貫性（継続すること）は、トレーニングの強度よりも重要です。
Daily	Minimalism	focused on	～に重点を置く	/ˈfəʊkəst ɒn/	動詞/句	She is focused on her studies.	彼女は勉強に重点を置いている。	possessions	所有物	/pəˈzeʃnz/	名詞	He travels with few possessions.	彼はわずかな所有物を持って旅をする。	prioritize	優先順位をつける	/prαɪˈɒrɪtaɪz/	動詞	We need to prioritize our tasks.	私たちはタスクを優先させる必要がある。	decluttering	片付けること、整理	/ˌdiːˈklʌtərɪŋ/	動名詞	Decluttering my room made me feel better.	部屋を片付けたら気分が良くなった。	mental energy	精神力、知的エネルギー	/ˈmentl ˈenədʒi/	句（フレーズ）	Stress drains your mental energy.	ストレスは精神力を消耗させる。	consumerist	消費者中心主義の	/kənˈsjuːmərɪst/	形容詞	We live in a consumerist society.	私たちは消費社会に住んでいる。	Minimalism is a lifestyle focused on owning fewer possessions to prioritize experiences and relationships. By decluttering their homes, people often find they have more time and mental energy. It challenges the consumerist idea that more stuff leads to more happiness.	Minimalism / is a lifestyle / focused on / owning fewer possessions / to prioritize / experiences and relationships. / By decluttering their homes, / people often find / they have more time / and mental energy. / It challenges / the consumerist idea / that more stuff / leads to / more happiness.	Minimalism / is a lifestyle / focused on / owning fewer possessions / to prioritize / experiences and relationships. ミニマリズムとは、経験や人間関係を優先するために、所有物を減らすことに焦点を当てたライフスタイルです。  By decluttering their homes, / people often find / they have more time / and mental energy. 家を片付けることで、より多くの時間と精神的なエネルギーがあることに気づくことがよくあります。  It challenges / the consumerist idea / that more stuff / leads to / more happiness. それは、物が増えるほど幸せになれるという消費至上主義的な考え方に疑問を投げかけます。
Daily	Neighborhood Spirit	significantly	かなり、著しく	/sɪɡˈnɪfɪkəntli/	副詞	Prices have risen significantly.	価格が著しく上昇した。	enhance	高める、向上させる	/ɪnˈhɑːns/	動詞	Technology can enhance communication.	技術はコミュニケーションを高めることができる。	quality of life	生活の質	/ˈkwɒləti əv lαɪf/	句（フレーズ）	Health improves the quality of life.	健康は生活の質を向上させる。	sense of security	安心感	/sens əv sɪˈkjʊərəti/	句（フレーズ）	A locked door gives a sense of security.	鍵をかけたドアは安心感を与える。	belonging	帰属、親睦	/bɪˈlɒŋɪŋ/	名詞	Humans have a need for belonging.	人間には帰属の欲求がある。	foster	育む	/ˈfɒstə/	動詞	The school fosters a love for learning.	学校は学習への愛を育む。	Living in a friendly neighborhood can significantly enhance one's quality of life. Knowing your neighbors creates a sense of security and belonging within the community. Simple gestures, like saying hello or helping with groceries, foster a positive environment.	Living in a friendly neighborhood / can significantly enhance / one's quality of life. / Knowing your neighbors / creates a sense of security / and belonging / within the community. / Simple gestures, / like saying hello / or helping with groceries, / foster a positive environment.	Living in a friendly neighborhood / can significantly enhance / one's quality of life. 友好的な近隣地域に住むことは、生活の質を大幅に向上させることができます。  Knowing your neighbors / creates a sense of security / and belonging / within the community. 隣人を知っていることは、コミュニティ内での安心感と帰属意識を生み出します。  Simple gestures, / like saying hello / or helping with groceries, / foster a positive environment. 挨拶をしたり食料品の運搬を手伝ったりといった簡単なジェスチャーが、ポジティブな環境を育みます。
